model,bin_roc_auc,mrr,hits@10
gat,0.575747922437673,0.1594048103637315,0.3157894736842105
rgcn,0.6398060941828255,0.1793801323082406,0.4210526315789473
rgat,0.7323199445983379,0.190849473964427,0.6052631578947368
