epoch,loss,val_roc_auc,val_pr_auc,val_acc@0
1,0.7182729244232178,0.641782322863404,0.06679478624797258,0.26073131955484896
2,0.6318309307098389,0.6876260043827611,0.10451672303992633,0.37360890302066774
3,0.594085693359375,0.7011249086924762,0.09744191152919608,0.6120826709062003
4,0.5369278788566589,0.7081373265157049,0.11696006192185572,0.7747747747747747
5,0.4815191626548767,0.7131628926223521,0.12400319750268184,0.8410174880763116
6,0.41876673698425293,0.7144923301680057,0.1286411997447727,0.8606253312135665
7,0.36583638191223145,0.7148721694667641,0.134003113287312,0.8648648648648649
8,0.3062085807323456,0.7144192841490138,0.1222367772348431,0.8685744568097509
9,0.2518591582775116,0.7117019722425129,0.11550196547912962,0.875993640699523
10,0.217439204454422,0.7068517165814462,0.11200452617903126,0.8802331743508214
11,0.2471441775560379,0.7028780131482834,0.10878214360030428,0.8871224165341812
12,0.20675450563430786,0.6996055514974434,0.09809833800213043,0.895601483836778
13,0.23480826616287231,0.697472607742878,0.09779630443659042,0.8977212506624271
14,0.21268033981323242,0.6959386413440468,0.08715732940564774,0.8982511923688394
15,0.21455919742584229,0.6939371804236668,0.0891358678178573,0.8966613672496025
16,0.23456275463104248,0.6944046749452155,0.08989143022953751,0.8945416004239534
17,0.19147823750972748,0.6956610664718772,0.09050457738216691,0.8897721250662427
18,0.13753290474414825,0.6967567567567567,0.09217011969808497,0.8871224165341812
19,0.10961176455020905,0.6977209642074508,0.09398966944002954,0.8865924748277689
20,0.1601058691740036,0.6983491599707816,0.09182369934440957,0.8876523582405935
21,0.14807260036468506,0.6979108838568299,0.09052159629028309,0.8918918918918919
22,0.15739397704601288,0.6983929875821768,0.11027836495189977,0.9019607843137255
23,0.15162216126918793,0.6984222059897736,0.1206676143387466,0.9051404345521993
24,0.1595636010169983,0.7000584368151936,0.12396339603396686,0.9067302596714362
25,0.12786108255386353,0.7010080350620892,0.1258056485776672,0.904610492845787
26,0.10402226448059082,0.7032286340394449,0.12435250672465434,0.9003709591944886
27,0.1349014937877655,0.7052593133674214,0.12597599590351324,0.8971913089560148
28,0.11185505986213684,0.707509130752374,0.12624150850093982,0.8950715421303657
29,0.10670619457960129,0.7096712929145362,0.12635667616246538,0.8950715421303657
30,0.13515858352184296,0.711599707815924,0.12798203745559442,0.8971913089560148
31,0.11199070513248444,0.7135135135135136,0.12925834269157774,0.9040805511393747
32,0.11242260038852692,0.7149890430971512,0.12882779833104432,0.9120296767355591
33,0.0967635065317154,0.7162746530314099,0.13080951182600553,0.9194488606253313
34,0.09671289473772049,0.7168882395909423,0.13651132041041106,0.9226285108638049
35,0.10481437295675278,0.7173849525200875,0.125265066517864,0.9273979862215156
36,0.09246017038822174,0.7179985390796202,0.1275157819405876,0.9300476947535771
37,0.1038331538438797,0.7182761139517897,0.11445173610947673,0.9305776364599894
38,0.09467484056949615,0.7193133674214756,0.11780479021178022,0.9279279279279279
39,0.07593019306659698,0.7199415631848066,0.12610660389839137,0.9258081611022787
40,0.08290740847587585,0.7197078159240322,0.12781641896631124,0.9273979862215156
41,0.07511868327856064,0.7198539079620161,0.13434963046323828,0.9279279279279279
42,0.05991898104548454,0.7196493791088385,0.13685540067425303,0.9284578696343402
43,0.08133269101381302,0.7192257121986851,0.12584190513352356,0.9332273449920508
44,0.07781211286783218,0.7182030679327978,0.11626425278169432,0.9385267620561738
45,0.06550673395395279,0.7170197224251279,0.10034516838364153,0.9443561208267091
46,0.07973336428403854,0.7145945945945946,0.09214658646566187,0.9491255961844197
47,0.06431519985198975,0.7109861212563915,0.0878370825360989,0.9523052464228935
48,0.09256311506032944,0.7095544192841491,0.09868115068322557,0.954954954954955
49,0.06674795597791672,0.7093498904309715,0.10341291998704448,0.9523052464228935
50,0.057553064078092575,0.7093498904309715,0.10234918242131745,0.9491255961844197
51,0.057253941893577576,0.7084295105916728,0.1075768549020408,0.9475357710651828
52,0.04408275708556175,0.7079327976625276,0.10558077305739748,0.9459459459459459
53,0.0467400923371315,0.7067202337472609,0.10042528572918918,0.9459459459459459
