model,bin_roc_auc,bin_pr_auc,bin_accuracy@0,mrr,hits@1,hits@3,hits@10,mean_rank,num_test,num_negs_per_pos
gat,0.575747922437673,0.04168947860430281,0.8534571723426213,0.1594048103637315,0.05263157894736842,0.15789473684210525,0.3157894736842105,22.68421052631579,38,50
rgcn,0.6398060941828255,0.04226031421789592,0.8895768833849329,0.17938013230824068,0.07894736842105263,0.15789473684210525,0.42105263157894735,17.13157894736842,38,50
rgat,0.7323199445983379,0.0525692323281566,0.8498452012383901,0.19084947396442709,0.05263157894736842,0.15789473684210525,0.6052631578947368,14.763157894736842,38,50
